DATA_NAME,ROW_COUNT,UNIQUE_RECORD,MISSING_VALUES_COUNT,DATA_FIRST_DATE,DATA_LATEST_DATE,RAW_MEMORY,CPU_MEMORY,SCRIPT_DURATION,LOG_UPLOAD_DATE
Covid data,999,131,1,2020-01-21,2020-03-10,62.4 %,0.0 %,0.22 sec,2023-06-23
Covid data,999,131,1,2020-01-21,2020-03-10,62.4 %,0.0 %,0.18 sec,2023-06-23
Covid data,999,131,1,2020-01-21,2020-03-10,62.8 %,0.0 %,0.17 sec,2023-06-23
Covid data,999,131,1,2020-01-21,2020-03-10,63.7 %,0.0 %,0.21 sec,2023-06-24
Covid data,999,131,1,2020-01-21,2020-03-10,63.8 %,0.0 %,0.14 sec,2023-06-24
Covid data,999,131,1,2020-01-21,2020-03-10,63.9 %,0.0 %,0.14 sec,2023-06-24
Covid data,999,131,1,2020-01-21,2020-03-10,64.5 %,0.0 %,0.14 sec,2023-06-24
Covid data,999,131,1,2020-01-21,2020-03-10,55.8 %,0.0 %,0.33 sec,2023-06-28
Covid data,999,131,1,2020-01-21,2020-03-10,55.9 %,0.0 %,0.23 sec,2023-06-28
Covid data,"2,417,793","3,136",0,2020-01-21,2022-05-13,63.0 %,0.0 %,161.34 sec,2023-07-14
Covid data,999,131,1,2020-01-21,2020-03-10,63.2 %,0.0 %,0.19 sec,2023-07-14
Covid data,999,131,1,2020-01-21,2020-03-10,63.3 %,0.0 %,0.24 sec,2023-07-17
Covid data,999,131,1,2020-01-21,2020-03-10,64.5 %,0.0 %,0.09 sec,2023-07-21
