DATA_NAME,ROW_COUNT,UNIQUE_RECORD,MISSING_VALUES_COUNT,DATA_FIRST_DATE,DATA_LATEST_DATE,RAW_MEMORY,CPU_MEMORY,SCRIPT_DURATION,LOG_UPLOAD_DATE
Covid data,999,131,1,2020-01-21,2020-03-10,64.8 %,10.4 %,0.2 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.8 %,11.4 %,0.19 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.5 %,11.4 %,0.19 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.7 %,15.9 %,0.16 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.6 %,13.8 %,0.17 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.6 %,20.8 %,0.19 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.7 %,10.2 %,0.21 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.8 %,11.3 %,0.2 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.7 %,12.7 %,0.18 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,64.7 %,13.6 %,0.17 sec,2023-08-02
Covid data,999,131,1,2020-01-21,2020-03-10,62.5 %,10.7 %,0.33 sec,2023-08-03
Covid data,999,131,1,2020-01-21,2020-03-10,60.1 %,14.9 %,0.2 sec,2023-08-03
Covid data,999,131,1,2020-01-21,2020-03-10,58.9 %,7.9 %,0.45 sec,2023-08-10
Covid data,999,131,1,2020-01-21,2020-03-10,61.5 %,12.7 %,0.23 sec,2023-11-19
